6ля;0.015
6лядь;0.0192
6лять;0.0169
b3ъeб;0.0022
cock;0.0184
cunt;0.0126
e6aль;0.014
ebal;0.0097
eblan;0.0033
eбaл;0.009
eбaть;0.0128
eбyч;0.0157
eбать;0.0112
eбёт;0.016
eблантий;0.0115
fuck;0.002
fucker;0.006
fucking;0.0095
xyёв;0.0085
xyй;0.0138
xyя;0.0162
xуе;0.0027
xуй;0.0165
xую;0.0032
zaeb;0.0145
zaebal;0.0049
zaebali;0.0019
zaebat;0.0174
архипиздрит;0.0177
ахуел;0.0068
ахуеть;0.0165
бздение;0.0031
бздеть;0.0186
бздех;0.0099
бздецы;0.0182
бздит;0.0031
бздицы;0.006
бздло;0.0122
бзднуть;0.0044
бздун;0.0011
бздунья;0.0113
бздюха;0.0071
бздюшка;0.0109
бздюшко;0.0104
бля;0.0012
блябу;0.0025
блябуду;0.0056
бляд;0.0199
бляди;0.0091
блядина;0.0168
блядище;0.0054
блядки;0.0092
блядовать;0.0061
блядство;0.0091
блядун;0.0135
блядуны;0.0008
блядунья;0.0144
блядь;0.0118
блядюга;0.0071
блять;0.0131
вафел;0.0103
вафлёр;0.0144
взъебка;0.0141
взьебка;0.012
взьебывать;0.0117
въеб;0.003
въебался;0.0052
въебенн;0.0152
въебусь;0.0045
въебывать;0.0053
выблядок;0.014
выблядыш;0.0013
выеб;0.0122
выебать;0.0077
выебен;0.0192
выебнулся;0.0034
выебон;0.0084
выебываться;0.0014
выпердеть;0.0005
высраться;1,00E-04
выссаться;0.001
вьебен;0.003
гавно;0.01
гавнюк;0.0064
гавнючка;0.0132
гамно;0.0102
гандон;0.0169
гнид;0.0068
гнида;0.0149
гниды;0.0151
говенка;0.0012
говенный;0.0198
говешка;0.0177
говназия;0.002
говнецо;0.0178
говнище;0.0089
говно;0.006
говноед;0.0067
говнолинк;0.007
говночист;0.0064
говнюк;0.0189
говнюха;0.0106
говнядина;0.0046
говняк;0.0005
говняный;0.0021
говнять;0.0195
гондон;0.0099
доебываться;0.0116
долбоеб;0.0187
долбоёб;0.0048
долбоящер;0.0124
дрисня;0.0126
дрист;0.0097
дристануть;0.0005
дристать;0.0083
дристун;0.003
дристуха;0.0053
дрочелло;0.0047
дрочена;0.0035
дрочила;0.0196
дрочилка;0.0057
дрочистый;0.0125
дрочить;0.0094
дрочка;0.0021
дрочун;0.0005
е6ал;0.0161
е6ут;0.0031
еб;0.0149
твою;0.0148
мать;0.0194
ёб;0.0123
твою;0.0179
мать;0.0153
ёбaн;0.0005
ебaть;0.0116
ебyч;0.0199
ебал;0.0026
ебало;0.0017
ебальник;0.0047
ебан;0.0043
ебанамать;0.0117
ебанат;0.0012
ебаная;0.0006
ёбаная;0.0096
ебанический;0.0175
ебанный;0.0005
ебанныйврот;0.0131
ебаное;0.0165
ебануть;0.013
ебануться;0.0198
ёбаную;0.0063
ебаный;0.0093
ебанько;0.008
ебарь;0.0172
ебат;0.012
ёбат;0.0195
ебатория;0.0056
ебать;0.0004
ебать-копать;0.0199
ебаться;0.0158
ебашить;0.0179
ебёна;0.0183
ебет;0.0039
ебёт;0.0106
ебец;0.0066
ебик;0.0064
ебин;0.0079
ебись;0.0182
ебическая;0.007
ебки;0.0161
ебла;0.0183
еблан;0.0114
ебливый;0.012
еблище;0.0137
ебло;0.0195
еблыст;0.0055
ебля;0.0095
ёбн;0.02
ебнуть;0.0112
ебнуться;0.0012
ебня;0.0046
ебошить;0.0042
ебская;0.0181
ебский;0.0072
ебтвоюмать;4,00E-05
ебун;0.0033
ебут;0.0094
ебуч;0.0048
ебуче;0.0038
ебучее;0.0071
ебучий;0.0177
ебучим;0.0115
ебущ;0.0164
ебырь;0.013
елда;0.0171
елдак;0.0023
елдачить;0.0139
жопа;0.0079
жопу;0.0006
заговнять;0.0156
задрачивать;0.0039
задристать;0.0113
задрота;0.0083
зае6;0.0099
заё6;0.0188
заеб;0.0089
заёб;0.0104
заеба;0.0042
заебал;0.0002
заебанец;0.0054
заебастая;0.0013
заебастый;0.0199
заебать;0.0036
заебаться;0.0174
заебашить;0.0071
заебистое;0.0047
заёбистое;0.0131
заебистые;0.0047
заёбистые;0.01
заебистый;0.012
заёбистый;0.0016
заебись;0.0027
заебошить;0.0075
заебываться;0.0165
залуп;0.002
залупа;0.0099
залупаться;0.0193
залупить;0.0145
залупиться;0.0086
замудохаться;0.0139
запиздячить;0.0069
засерать;0.0109
засерун;0.0078
засеря;0.0148
засирать;0.0126
засрун;0.0152
захуячить;0.0113
заябестая;0.0193
злоеб;0.0046
злоебучая;0.0089
злоебучее;0.0087
злоебучий;0.0104
ибанамат;0.0121
ибонех;0.0082
изговнять;0.0121
изговняться;0.0018
изъебнуться;0.0176
ипать;0.0184
ипаться;0.0164
ипаццо;0.0135
Какдвапальцаобоссать;0.0097
конча;0.0068
курва;0.0188
курвятник;0.0017
лох;0.018
лошарa;0.0145
лошара;0.0059
лошары;0.0156
лошок;0.0065
лярва;0.0151
малафья;0.0143
манда;0.0055
мандавошек;0.0106
мандавошка;0.0163
мандавошки;0.0054
мандей;0.0053
мандень;0.0188
мандеть;0.0111
мандища;0.0152
мандой;0.0087
манду;0.0175
мандюк;0.0121
минет;0.0082
минетчик;0.0172
минетчица;0.001
млять;0.0109
мокрощелка;0.0117
мокрощёлка;0.0009
мразь;0.0008
мудak;0.0007
мудaк;0.002
мудаг;0.0012
мудак;0.0066
муде;0.0137
мудель;0.012
мудеть;0.0121
муди;0.0127
мудил;0.0013
мудила;0.0091
мудистый;0.0085
мудня;0.0088
мудоеб;0.0128
мудозвон;0.0106
мудоклюй;0.0153
на;0.015
хер;0.004
на;0.0162
хуй;0.013
набздел;0.0093
набздеть;0.0174
наговнять;0.0095
надристать;0.0119
надрочить;0.0065
наебать;0.0192
наебет;0.0105
наебнуть;0.0191
наебнуться;0.0089
наебывать;0.0009
напиздел;0.0076
напиздели;0.0119
напиздело;0.0104
напиздили;0.0117
насрать;0.0187
настопиздить;0.0107
нахер;0.0105
нахрен;0.0171
нахуй;0.0049
нахуйник;0.0192
не;0.008
ебет;0.0043
не;0.0085
ебёт;0.0085
невротебучий;0.0169
невъебенно;0.0067
нехира;0.0195
нехрен;0.0079
Нехуй;0.0073
нехуйственно;0.0186
ниибацо;0.0134
ниипацца;0.0093
ниипаццо;0.0161
ниипет;0.0043
никуя;0.0057
нихера;0.0074
нихуя;0.0099
обдристаться;0.0197
обосранец;0.0121
обосрать;0.0081
обосцать;0.0068
обосцаться;0.006
обсирать;0.0047
объебос;0.0182
обьебать;0.0005
обьебос;0.0159
однохуйственно;0.0092
опездал;0.0084
опизде;0.0034
опизденивающе;0.0183
остоебенить;0.0102
остопиздеть;0.0146
отмудохать;0.0084
отпиздить;0.0165
отпиздячить;0.005
отпороть;0.0046
отъебись;0.0106
охуевательский;0.0036
охуевать;0.0159
охуевающий;0.0114
охуел;0.0028
охуенно;0.0079
охуеньчик;0.0196
охуеть;0.0118
охуительно;0.0061
охуительный;0.0071
охуяньчик;0.003
охуячивать;0.0159
охуячить;0.0135
очкун;0.0173
падла;0.0012
падонки;0.0038
падонок;0.0128
паскуда;0.0143
педерас;0.0071
педик;0.0153
педрик;0.0043
педрила;0.0064
педрилло;0.0053
педрило;0.0175
педрилы;0.0131
пездень;0.0127
пездит;0.0071
пездишь;0.0156
пездо;0.0091
пездят;0.0014
пердануть;0.0136
пердеж;0.0152
пердение;0.0038
пердеть;0.0013
пердильник;0.0041
перднуть;0.0093
пёрднуть;0.0187
пердун;0.0116
пердунец;0.0126
пердунина;0.013
пердунья;0.0186
пердуха;0.0128
пердь;0.0175
переёбок;0.0006
пернуть;0.0008
пёрнуть;0.0003
пи3д;0.0154
пи3де;0.0134
пи3ду;0.0083
пиzдец;0.0184
пидар;0.0156
пидарaс;6,00E-05
пидарас;0.018
пидарасы;0.0071
пидары;0.0062
пидор;0.0016
пидорасы;0.0131
пидорка;0.0045
пидорок;0.0159
пидоры;0.005
пидрас;0.0116
пизда;0.0047
пиздануть;0.0123
пиздануться;0.017
пиздарваньчик;0.0036
пиздато;0.0008
пиздатое;0.0142
пиздатый;0.0159
пизденка;0.0119
пизденыш;0.0163
пиздёныш;0.0143
пиздеть;0.0073
пиздец;0.0134
пиздит;0.0159
пиздить;0.0005
пиздиться;0.0056
пиздишь;0.0068
пиздища;0.0058
пиздище;0.0154
пиздобол;0.0017
пиздоболы;0.0019
пиздобратия;0.0151
пиздоватая;0.0125
пиздоватый;0.0018
пиздолиз;0.0141
пиздонутые;0.0147
пиздорванец;0.0148
пиздорванка;0.0108
пиздострадатель;0.0036
пизду;0.0144
пиздуй;0.0171
пиздун;0.0015
пиздунья;0.0034
пизды;0.0172
пиздюга;0.0198
пиздюк;0.0082
пиздюлина;0.0025
пиздюля;0.0145
пиздят;0.0105
пиздячить;0.0086
писбшки;0.0056
писька;5,00E-05
писькострадатель;0.0074
писюн;0.0085
писюшка;0.0193
по;0.0126
хуй;0.0193
по;4,00E-05
